account_age_days,previous_orders,previous_returns,return_rate,previous_refund_count,previous_refund_amount,average_order_value,refund_to_order_ratio,orders_last_24h,returns_last_7d,returns_last_30d,refunds_last_30d,current_order_amount,current_return_amount,return_to_order_ratio,days_to_return,same_reason_count,unique_return_reasons,return_frequency,return_gap_days,high_value_return_flag,device_linked_accounts,address_linked_accounts,potentially_abusive,return_id,customer_id
209,4,0,0.0,0,0.0,4523.45,0.0,0,0,0,0,1108.67,1108.67,1.0,28,0,0,0.0,209,0,1,1,0,RET000001,CUST00004
220,2,0,0.0,0,0.0,4010.8,0.0,0,0,0,0,3563.29,3563.29,1.0,15,0,0,0.0,220,0,1,1,0,RET000002,CUST00008
123,2,0,0.0,0,0.0,2103.38,0.0,0,0,0,0,2220.29,2220.29,1.0,13,0,0,0.0,123,0,1,1,0,RET000003,CUST00014
75,4,0,0.0,0,0.0,3623.94,0.0,0,0,0,0,4104.45,4104.45,1.0,3,0,0,0.0,75,0,1,1,0,RET000004,CUST00016
206,8,2,0.25,1,5460.64,5063.76,0.1348,0,0,0,0,784.46,784.46,1.0,20,0,1,0.2913,87,0,1,1,0,RET000005,CUST00017
119,5,1,0.2,1,5460.64,3628.64,0.301,0,0,0,0,2026.3,2026.3,1.0,17,1,1,0.2521,94,0,1,1,1,RET000006,CUST00017
25,2,0,0.0,0,0.0,5386.97,0.0,0,0,0,0,8237.75,5460.64,0.6629,25,0,0,0.0,25,0,1,1,0,RET000007,CUST00017
330,4,0,0.0,0,0.0,2260.64,0.0,0,0,0,0,2101.6,2101.6,1.0,13,0,0,0.0,330,0,1,1,0,RET000008,CUST00020
274,4,0,0.0,0,0.0,4253.61,0.0,0,0,0,0,3020.62,2600.99,0.8611,21,0,0,0.0,274,0,1,1,0,RET000009,CUST00021
218,4,0,0.0,0,0.0,1919.51,0.0,0,0,0,0,3801.34,1699.2,0.447,15,0,0,0.0,218,0,1,1,0,RET000010,CUST00025
34,12,3,0.25,1,2101.11,4030.52,0.0434,0,1,3,1,903.73,903.73,1.0,14,0,3,2.6471,6,0,1,1,1,RET000011,CUST00027
60,16,4,0.25,2,3345.77,4196.33,0.0498,0,0,1,1,2222.54,2222.54,1.0,6,0,4,2.0,26,0,1,1,1,RET000012,CUST00027
65,17,5,0.2941,2,3345.77,3997.71,0.0492,0,1,1,1,14526.95,14526.95,1.0,8,0,5,2.3077,5,1,1,1,1,RET000013,CUST00027
28,11,2,0.1818,1,2101.11,4317.65,0.0442,0,1,2,1,1968.91,1968.91,1.0,8,0,2,2.1429,2,0,1,1,1,RET000014,CUST00027
26,11,1,0.0909,0,0.0,4317.65,0.0,0,0,1,0,2101.11,2101.11,1.0,4,0,1,1.1538,13,0,1,1,1,RET000015,CUST00027
13,3,0,0.0,0,0.0,5180.39,0.0,1,0,0,0,6620.42,6620.42,1.0,12,0,0,0.0,13,0,1,1,0,RET000016,CUST00027
376,2,0,0.0,0,0.0,10568.9,0.0,0,0,0,0,1187.49,1017.5,0.8568,18,0,0,0.0,376,0,1,1,0,RET000017,CUST00028
126,6,0,0.0,0,0.0,10785.88,0.0,0,0,0,0,3059.21,3059.21,1.0,13,0,0,0.0,126,0,1,1,0,RET000018,CUST00029
33,2,0,0.0,0,0.0,17333.28,0.0,0,0,0,0,33241.31,33241.31,1.0,16,0,0,0.0,33,0,1,1,0,RET000019,CUST00030
448,4,1,0.25,1,1024.68,1133.33,0.226,0,0,0,0,1148.94,784.32,0.6826,12,0,1,0.067,145,0,1,1,0,RET000020,CUST00031
303,1,0,0.0,0,0.0,1024.68,0.0,0,0,0,0,1024.68,1024.68,1.0,8,0,0,0.0,303,0,1,1,0,RET000021,CUST00031
214,9,2,0.2222,1,2055.69,4103.23,0.0557,0,0,1,1,2478.25,2478.25,1.0,19,0,2,0.2804,24,0,1,1,0,RET000022,CUST00034
141,6,0,0.0,0,0.0,5080.95,0.0,0,0,0,0,8150.14,8150.14,1.0,28,0,0,0.0,141,0,1,1,0,RET000023,CUST00034
190,8,1,0.125,0,0.0,4306.35,0.0,0,0,0,0,2055.69,2055.69,1.0,28,0,1,0.1579,49,0,1,1,1,RET000024,CUST00034
282,5,0,0.0,0,0.0,6987.14,0.0,0,0,0,0,1918.86,1801.96,0.9391,17,0,0,0.0,282,0,1,1,0,RET000025,CUST00036
419,6,1,0.1667,0,0.0,6375.55,0.0,0,0,0,0,3317.58,2946.12,0.888,17,0,1,0.0716,137,0,1,1,0,RET000026,CUST00036
442,12,4,0.3333,4,13106.36,5863.65,0.1863,1,0,2,2,1356.12,1226.66,0.9045,7,1,4,0.2715,14,0,4,1,1,RET000027,CUST00038
290,1,0,0.0,0,0.0,2816.47,0.0,0,0,0,0,2816.47,2816.47,1.0,9,0,0,0.0,290,0,4,1,0,RET000028,CUST00038
428,10,2,0.2,2,3974.33,6732.24,0.059,0,0,0,0,6579.96,6579.96,1.0,5,0,2,0.1402,114,0,4,1,0,RET000029,CUST00038
428,10,2,0.2,2,3974.33,6732.24,0.059,0,0,0,0,4843.32,2552.07,0.5269,11,0,2,0.1402,114,0,4,1,0,RET000030,CUST00038
452,13,5,0.3846,4,13106.36,5432.77,0.1856,1,0,3,2,262.12,170.94,0.6521,1,0,4,0.3319,10,0,4,1,1,RET000031,CUST00038
314,3,1,0.3333,1,2013.68,1883.63,0.3563,0,0,1,1,1960.65,1960.65,1.0,14,0,1,0.0955,24,0,4,1,0,RET000032,CUST00038
30,11,4,0.3636,2,39309.5,7889.49,0.453,0,0,4,2,1629.19,1629.19,1.0,7,0,4,4.0,9,0,4,1,1,RET000033,CUST00042
21,6,3,0.5,2,39309.5,9353.05,0.7005,1,0,3,2,852.85,852.85,1.0,7,0,3,4.2857,9,0,4,1,1,RET000034,CUST00042
11,3,1,0.3333,0,0.0,13907.43,0.0,0,1,1,0,6715.56,6715.56,1.0,3,0,1,2.7273,1,0,4,1,1,RET000035,CUST00042
37,12,6,0.5,4,41791.54,10258.03,0.3395,0,2,6,4,36312.02,36312.02,1.0,3,1,5,4.8649,7,1,4,1,1,RET000036,CUST00042
12,3,2,0.6667,0,0.0,13907.43,0.0,0,2,2,0,32593.94,32593.94,1.0,6,0,2,5.0,1,1,4,1,1,RET000037,CUST00042
10,3,0,0.0,0,0.0,13907.43,0.0,0,0,0,0,2412.78,2412.78,1.0,8,0,0,0.0,10,0,4,1,0,RET000038,CUST00042
30,11,4,0.3636,2,39309.5,7889.49,0.453,0,0,4,2,1081.87,469.91,0.4343,10,1,4,4.0,9,0,4,1,1,RET000039,CUST00042
225,4,0,0.0,0,0.0,1553.75,0.0,0,0,0,0,1265.72,1265.72,1.0,3,0,0,0.0,225,0,1,4,0,RET000040,CUST00044
370,2,0,0.0,0,0.0,2975.83,0.0,0,0,0,0,4120.64,4120.64,1.0,23,0,0,0.0,370,0,1,1,0,RET000041,CUST00045
9,5,1,0.2,0,0.0,4217.48,0.0,2,1,1,0,1584.62,1584.62,1.0,8,0,1,3.3333,2,0,2,1,0,RET000042,CUST00048
26,11,4,0.3636,3,16940.68,5038.63,0.3057,0,0,4,3,2806.81,2806.81,1.0,5,0,3,4.6154,14,0,2,1,1,RET000043,CUST00048
12,6,3,0.5,0,0.0,7677.39,0.0,0,3,3,0,1635.77,1635.77,1.0,4,1,3,7.5,2,0,2,1,1,RET000044,CUST00048
10,6,2,0.3333,0,0.0,7677.39,0.0,1,2,2,0,13353.04,13353.04,1.0,7,0,2,6.0,1,0,2,1,0,RET000045,CUST00048
7,3,0,0.0,0,0.0,5629.84,0.0,1,0,0,0,1951.87,1951.87,1.0,1,0,0,0.0,7,0,2,1,0,RET000046,CUST00048
32,13,5,0.3846,3,16940.68,4664.24,0.2794,0,1,5,3,3534.18,3534.18,1.0,3,2,4,4.6875,6,0,2,1,1,RET000047,CUST00048
25,12,7,0.5833,1,15137.66,5537.12,0.2278,1,4,7,1,2561.62,2561.62,1.0,11,1,5,8.4,3,0,1,1,1,RET000048,CUST00051
27,15,8,0.5333,3,20036.9,4897.39,0.2728,2,4,8,3,3034.57,3034.57,1.0,7,2,5,8.8889,2,0,1,1,1,RET000049,CUST00051
11,4,0,0.0,0,0.0,8680.62,0.0,1,0,0,0,13094.31,13094.31,1.0,7,0,0,0.0,11,0,1,1,0,RET000050,CUST00051
22,11,5,0.4545,1,15137.66,5915.85,0.2326,0,4,5,1,5055.23,5055.23,1.0,7,1,4,6.8182,2,0,1,1,1,RET000051,CUST00051
27,15,8,0.5333,3,20036.9,4897.39,0.2728,2,4,8,3,737.33,546.75,0.7415,1,1,5,8.8889,2,0,1,1,1,RET000052,CUST00051
18,8,3,0.375,0,0.0,6395.59,0.0,1,3,3,0,1228.53,510.29,0.4154,8,1,3,5.0,3,0,1,1,1,RET000053,CUST00051
15,6,1,0.1667,0,0.0,7214.02,0.0,2,1,1,0,16868.46,16868.46,1.0,9,0,1,2.0,4,1,1,1,0,RET000054,CUST00051
51,21,14,0.6667,12,58215.1,6061.25,0.4574,0,0,9,12,1089.29,1089.29,1.0,10,2,6,8.2353,11,0,1,1,1,RET000055,CUST00051
39,19,12,0.6316,8,38443.69,6292.75,0.3215,1,1,12,8,1293.56,1293.56,1.0,3,4,6,9.2308,1,0,1,1,1,RET000056,CUST00051
38,18,11,0.6111,7,37896.94,6472.07,0.3253,0,0,11,7,12894.07,12894.07,1.0,4,3,6,8.6842,8,0,1,1,1,RET000057,CUST00051
30,16,10,0.625,3,20036.9,6394.35,0.1958,1,3,10,3,2518.81,2518.81,1.0,4,0,5,10.0,3,0,1,1,1,RET000058,CUST00051
40,19,13,0.6842,8,38443.69,6292.75,0.3215,0,2,13,8,3064.97,3064.97,1.0,2,5,6,9.75,1,0,1,1,1,RET000059,CUST00051
20,9,4,0.4444,0,0.0,6787.88,0.0,0,3,4,0,9926.21,9926.21,1.0,2,0,3,6.0,2,0,1,1,1,RET000060,CUST00051
15,6,1,0.1667,0,0.0,7214.02,0.0,2,1,1,0,6000.0,6000.0,1.0,1,0,1,2.0,4,0,1,1,0,RET000061,CUST00051
22,11,5,0.4545,1,15137.66,5915.85,0.2326,0,4,5,1,2825.36,2825.36,1.0,5,0,4,6.8182,2,0,1,1,1,RET000062,CUST00051
14,3,0,0.0,0,0.0,7471.21,0.0,2,0,0,0,1539.9,1539.9,1.0,1,0,0,0.0,14,0,4,1,0,RET000063,CUST00052
18,7,2,0.2857,0,0.0,9062.79,0.0,1,2,2,0,16824.46,16824.46,1.0,1,0,2,3.3333,2,0,4,1,1,RET000064,CUST00052
16,5,1,0.2,0,0.0,8643.14,0.0,2,1,1,0,14983.35,6767.73,0.4517,1,0,1,1.875,2,0,4,1,0,RET000065,CUST00052
20,9,3,0.3333,1,16824.46,7673.64,0.2436,1,3,3,1,2517.11,2517.11,1.0,1,0,3,4.5,2,0,4,1,1,RET000066,CUST00052
71,16,8,0.5,1,16824.46,7411.85,0.1419,0,1,2,0,707.38,488.43,0.6905,6,2,5,3.3803,7,0,4,1,1,RET000067,CUST00052
38,12,4,0.3333,1,16824.46,7365.44,0.1904,1,0,4,1,15291.29,15291.29,1.0,11,0,4,3.1579,18,1,4,1,1,RET000068,CUST00052
38,12,4,0.3333,1,16824.46,7365.44,0.1904,1,0,4,1,1756.66,1756.66,1.0,1,1,4,3.1579,18,0,4,1,1,RET000069,CUST00052
52,13,6,0.4615,1,16824.46,6890.67,0.1878,0,0,2,0,1193.41,1193.41,1.0,5,1,5,3.4615,14,0,4,1,1,RET000070,CUST00052
64,15,7,0.4667,1,16824.46,7858.82,0.1427,0,0,3,0,598.62,598.62,1.0,10,1,5,3.2812,12,0,4,1,1,RET000071,CUST00052
304,2,0,0.0,0,0.0,1186.54,0.0,0,0,0,0,1776.18,1315.43,0.7406,27,0,0,0.0,304,0,1,1,0,RET000072,CUST00060
166,5,0,0.0,0,0.0,12847.61,0.0,0,0,0,0,1444.79,1444.79,1.0,19,0,0,0.0,166,0,1,1,0,RET000073,CUST00061
25,15,3,0.2,2,4684.31,4807.62,0.065,0,0,3,2,5094.68,5094.68,1.0,8,1,3,3.6,14,0,4,1,1,RET000074,CUST00063
7,9,1,0.1111,0,0.0,5439.17,0.0,1,1,1,0,3091.71,3091.71,1.0,7,0,1,4.2857,1,0,4,1,0,RET000075,CUST00063
29,15,4,0.2667,2,4684.31,4807.62,0.065,0,1,4,2,769.48,325.47,0.423,13,0,3,4.1379,4,0,4,1,1,RET000076,CUST00063
6,8,0,0.0,0,0.0,4308.43,0.0,3,0,0,0,1592.6,1592.6,1.0,2,0,0,0.0,6,0,4,1,0,RET000077,CUST00063
11,9,2,0.2222,0,0.0,5439.17,0.0,0,2,2,0,1069.43,1069.43,1.0,6,0,2,5.4545,4,0,4,1,1,RET000078,CUST00063
44,3,0,0.0,0,0.0,3347.35,0.0,0,0,0,0,5408.34,5408.34,1.0,8,0,0,0.0,44,0,1,1,0,RET000079,CUST00064
207,3,0,0.0,0,0.0,6893.57,0.0,0,0,0,0,14165.36,14165.36,1.0,24,0,0,0.0,207,1,1,1,1,RET000080,CUST00065
364,6,0,0.0,0,0.0,3704.76,0.0,0,0,0,0,335.06,335.06,1.0,8,0,0,0.0,364,0,1,1,1,RET000081,CUST00073
33,3,0,0.0,0,0.0,1844.53,0.0,1,0,0,0,4072.22,4072.22,1.0,26,0,0,0.0,33,1,1,1,0,RET000082,CUST00074
128,5,0,0.0,0,0.0,1554.41,0.0,0,0,0,0,1328.33,1328.33,1.0,8,0,0,0.0,128,0,1,1,0,RET000083,CUST00080
26,2,0,0.0,0,0.0,5885.82,0.0,0,0,0,0,10679.77,10679.77,1.0,4,0,0,0.0,26,0,3,2,0,RET000084,CUST00083
41,3,1,0.3333,1,10679.77,4688.74,0.7592,0,0,1,1,2294.58,2294.58,1.0,4,0,1,0.7317,15,0,3,2,0,RET000085,CUST00083
114,8,2,0.25,2,12974.35,4799.23,0.3379,0,0,0,0,1957.15,1957.15,1.0,11,0,2,0.5263,73,0,3,2,1,RET000086,CUST00083
104,2,0,0.0,0,0.0,1855.47,0.0,0,0,0,0,1743.74,1743.74,1.0,29,0,0,0.0,104,0,1,1,0,RET000087,CUST00086
378,1,0,0.0,0,0.0,2458.23,0.0,0,0,0,0,2458.23,2458.23,1.0,28,0,0,0.0,378,0,1,1,0,RET000088,CUST00090
30,1,0,0.0,0,0.0,2897.7,0.0,0,0,0,0,2897.7,2316.22,0.7993,12,0,0,0.0,30,0,1,1,0,RET000089,CUST00091
53,2,1,0.5,1,2316.22,2160.26,0.5361,0,0,1,1,1422.81,1422.81,1.0,10,0,1,0.566,23,0,1,1,1,RET000090,CUST00091
192,8,2,0.25,1,2316.22,7706.83,0.0376,1,0,0,0,6725.69,6725.69,1.0,1,1,2,0.3125,139,0,1,1,0,RET000091,CUST00091
129,3,0,0.0,0,0.0,5178.8,0.0,0,0,0,0,6208.18,6208.18,1.0,26,0,0,0.0,129,0,5,3,0,RET000092,CUST00096
243,3,0,0.0,0,0.0,3971.73,0.0,0,0,0,0,1427.35,1427.35,1.0,2,0,0,0.0,243,0,1,1,0,RET000093,CUST00097
65,15,2,0.1333,1,13610.7,7286.05,0.1245,0,0,1,1,1725.78,1725.78,1.0,13,2,1,0.9231,28,0,1,3,0,RET000094,CUST00104
69,15,3,0.2,2,15336.48,7286.05,0.1403,0,1,1,2,5893.43,5387.86,0.9142,14,0,1,1.3043,4,0,1,3,1,RET000095,CUST00104
5,1,0,0.0,0,0.0,2926.35,0.0,0,0,0,0,2926.35,1747.14,0.597,5,0,0,0.0,5,0,1,3,0,RET000096,CUST00104
37,5,1,0.2,0,0.0,11655.32,0.0,0,0,0,0,13610.7,13610.7,1.0,6,1,1,0.8108,32,0,1,3,0,RET000097,CUST00104
70,15,4,0.2667,2,15336.48,7286.05,0.1403,0,2,2,2,880.89,880.89,1.0,13,0,2,1.7143,1,0,1,3,1,RET000098,CUST00104
