address_id,city,postal_area,linked_accounts
ADDR00001,Surat,395412,2
ADDR00002,Mumbai,400836,4
ADDR00003,Surat,395135,4
ADDR00004,Chennai,600948,2
ADDR00005,Mumbai,400462,2
ADDR00006,Kolkata,700617,3
ADDR00007,Surat,395645,4
ADDR00008,Delhi,110600,4
ADDR00009,Surat,395393,2
ADDR00010,Bangalore,560226,3
ADDR00011,Kolkata,700857,4
ADDR00012,Kolkata,700550,3
ADDR00013,Lucknow,226249,3
ADDR00014,Pune,411116,3
ADDR00015,Indore,452607,3
ADDR00016,Pune,411173,4
ADDR00017,Ahmedabad,380961,3
ADDR00018,Chennai,600488,2
ADDR00019,Chandigarh,160901,3
ADDR00020,Delhi,110908,3
ADDR00021,Hyderabad,500548,3
ADDR00022,Mumbai,400231,3
ADDR00023,Jaipur,302974,4
ADDR00024,Kolkata,700717,2
ADDR00025,Bangalore,560691,2
ADDR00026,Delhi,110766,3
ADDR00027,Bangalore,560234,4
ADDR00028,Pune,411180,2
ADDR00029,Hyderabad,500338,4
ADDR00030,Mumbai,400473,2
ADDR00031,Delhi,110714,2
ADDR00032,Jaipur,302331,4
ADDR00033,Bangalore,560496,4
ADDR00034,Ahmedabad,380981,2
ADDR00035,Surat,395606,3
ADDR00036,Hyderabad,500878,3
ADDR00037,Mumbai,400340,3
ADDR00038,Ahmedabad,380115,3
ADDR00039,Kochi,682192,2
ADDR00040,Bangalore,560518,2
ADDR00041,Mumbai,400944,4
ADDR00042,Ahmedabad,380981,4
ADDR00043,Mumbai,400971,2
ADDR00044,Mumbai,400255,4
ADDR00045,Pune,411421,3
ADDR00046,Pune,411139,4
ADDR00047,Delhi,110969,3
ADDR00048,Jaipur,302223,3
ADDR00049,Mumbai,400147,4
ADDR00050,Mumbai,400795,2
ADDR00051,Bangalore,560559,2
ADDR00052,Delhi,110606,4
ADDR00053,Kolkata,700849,3
ADDR00054,Bangalore,560976,4
ADDR00055,Surat,395249,3
ADDR00056,Hyderabad,500505,2
ADDR00057,Bangalore,560737,4
ADDR00058,Surat,395500,3
ADDR00059,Chandigarh,160990,2
ADDR00060,Chandigarh,160799,4
ADDR00061,Pune,411218,4
ADDR00062,Hyderabad,500483,3
ADDR00063,Hyderabad,500295,2
ADDR00064,Delhi,110757,2
ADDR00065,Bangalore,560328,2
ADDR00066,Ahmedabad,380474,2
ADDR00067,Mumbai,400865,3
ADDR00068,Surat,395104,3
ADDR00069,Chennai,600608,3
ADDR00070,Mumbai,400316,3
ADDR00071,Hyderabad,500552,2
ADDR00072,Chennai,600603,4
ADDR00073,Surat,395206,3
ADDR00074,Bangalore,560693,2
ADDR00075,Kochi,682748,4
ADDR00076,Mumbai,400115,4
ADDR00077,Kolkata,700823,3
ADDR00078,Bangalore,560276,3
ADDR00079,Mumbai,400754,4
ADDR00080,Kochi,682590,2
ADDR00081,Bangalore,560710,2
ADDR00082,Chennai,600586,4
ADDR00083,Jaipur,302533,2
ADDR00084,Surat,395921,3
ADDR00085,Indore,452503,2
ADDR00086,Kolkata,700294,4
ADDR00087,Pune,411967,4
ADDR00088,Hyderabad,500730,4
ADDR00089,Bangalore,560355,3
ADDR00090,Delhi,110435,2
ADDR00091,Chennai,600388,3
ADDR00092,Bangalore,560813,3
ADDR00093,Bangalore,560322,3
ADDR00094,Jaipur,302782,4
ADDR00095,Jaipur,302792,4
ADDR00096,Hyderabad,500990,4
ADDR00097,Delhi,110731,2
ADDR00098,Surat,395221,4
ADDR00099,Kochi,682678,4
ADDR00100,Delhi,110841,3
ADDR00101,Kolkata,700427,2
ADDR00102,Lucknow,226400,3
ADDR00103,Mumbai,400599,2
ADDR00104,Mumbai,400818,3
ADDR00105,Kochi,682914,3
ADDR00106,Chennai,600911,2
ADDR00107,Bangalore,560281,3
ADDR00108,Jaipur,302103,3
ADDR00109,Bangalore,560443,4
ADDR00110,Delhi,110647,3
ADDR00111,Lucknow,226697,3
ADDR00112,Mumbai,400535,2
ADDR00113,Indore,452678,4
ADDR00114,Mumbai,400131,2
ADDR00115,Delhi,110562,4
ADDR00116,Bangalore,560442,4
ADDR00117,Bangalore,560118,3
ADDR00118,Delhi,110705,2
ADDR00119,Delhi,110765,2
ADDR00120,Hyderabad,500593,2
ADDR00121,Bangalore,560324,4
ADDR00122,Chennai,600236,4
ADDR00123,Kolkata,700422,3
ADDR00124,Kolkata,700227,2
ADDR00125,Indore,452784,2
ADDR00126,Bangalore,560694,3
ADDR00127,Jaipur,302140,3
ADDR00128,Chennai,600242,2
ADDR00129,Jaipur,302132,2
ADDR00130,Surat,395729,4
ADDR00131,Mumbai,400949,2
ADDR00132,Delhi,110944,4
ADDR00133,Pune,411502,3
ADDR00134,Chennai,600899,4
ADDR00135,Delhi,110152,2
ADDR00136,Jaipur,302132,4
ADDR00137,Bangalore,560990,4
ADDR00138,Ahmedabad,380276,4
ADDR00139,Lucknow,226832,3
ADDR00140,Mumbai,400530,3
ADDR00141,Delhi,110837,2
ADDR00142,Ahmedabad,380639,2
ADDR00143,Chennai,600527,2
ADDR00144,Kolkata,700743,2
ADDR00145,Chennai,600893,4
ADDR00146,Kolkata,700271,2
ADDR00147,Delhi,110880,3
ADDR00148,Mumbai,400927,2
ADDR00149,Bangalore,560960,2
ADDR00150,Hyderabad,500552,4
ADDR00151,Jaipur,302482,2
ADDR00152,Surat,395717,4
ADDR00153,Chennai,600228,3
ADDR00154,Mumbai,400669,3
ADDR00155,Hyderabad,500800,4
ADDR00156,Kochi,682340,3
ADDR00157,Mumbai,400870,2
ADDR00158,Mumbai,400858,2
ADDR00159,Hyderabad,500498,2
ADDR00160,Hyderabad,500622,2
ADDR00161,Indore,452141,3
ADDR00162,Bangalore,560616,4
ADDR00163,Mumbai,400598,3
ADDR00164,Bangalore,560584,4
ADDR00165,Bangalore,560760,2
ADDR00166,Delhi,110146,2
ADDR00167,Mumbai,400106,4
ADDR00168,Ahmedabad,380122,3
ADDR00169,Mumbai,400876,4
ADDR00170,Kochi,682532,1
ADDR00171,Jaipur,302147,1
ADDR00172,Hyderabad,500208,1
ADDR00173,Bangalore,560130,1
ADDR00174,Jaipur,302579,1
ADDR00175,Delhi,110104,1
ADDR00176,Chennai,600756,1
ADDR00177,Kolkata,700807,1
ADDR00178,Pune,411226,1
