customer_id,signup_date,account_age_days,device_id,address_id,city,customer_segment
CUST00001,2026-04-13,141,DEV00154,ADDR00170,Kochi,occasional
CUST00002,2025-10-22,314,DEV00155,ADDR00171,Jaipur,premium
CUST00003,2025-04-06,513,DEV00156,ADDR00172,Hyderabad,premium
CUST00004,2026-01-19,225,DEV00157,ADDR00173,Bangalore,regular
CUST00005,2026-01-08,236,DEV00158,ADDR00174,Jaipur,regular
CUST00006,2025-06-11,447,DEV00159,ADDR00175,Delhi,regular
CUST00007,2025-10-21,315,DEV00160,ADDR00176,Chennai,premium
CUST00008,2025-06-16,442,DEV00161,ADDR00177,Kolkata,premium
CUST00009,2025-12-18,257,DEV00162,ADDR00178,Pune,regular
CUST00010,2025-04-01,518,DEV00163,ADDR00179,Chandigarh,regular
CUST00011,2025-11-05,300,DEV00164,ADDR00180,Mumbai,regular
CUST00012,2025-08-10,387,DEV00165,ADDR00181,Mumbai,regular
CUST00013,2025-11-09,296,DEV00166,ADDR00182,Chennai,occasional
CUST00014,2025-10-26,310,DEV00167,ADDR00183,Bangalore,premium
CUST00015,2026-03-10,175,DEV00168,ADDR00184,Chennai,regular
CUST00016,2026-05-12,112,DEV00169,ADDR00185,Delhi,premium
CUST00017,2026-02-24,189,DEV00170,ADDR00186,Jaipur,new
CUST00018,2026-04-15,139,DEV00171,ADDR00187,Ahmedabad,occasional
CUST00019,2026-04-23,131,DEV00172,ADDR00188,Lucknow,regular
CUST00020,2025-05-02,487,DEV00173,ADDR00189,Mumbai,occasional
CUST00021,2025-10-29,307,DEV00174,ADDR00190,Bangalore,regular
CUST00022,2025-08-09,388,DEV00175,ADDR00191,Ahmedabad,premium
CUST00023,2026-05-18,106,DEV00176,ADDR00192,Kolkata,new
CUST00024,2025-11-07,298,DEV00177,ADDR00193,Pune,regular
CUST00025,2025-11-30,275,DEV00178,ADDR00194,Delhi,regular
CUST00026,2025-08-02,395,DEV00179,ADDR00195,Chennai,premium
CUST00027,2026-06-30,63,DEV00180,ADDR00196,Hyderabad,new
CUST00028,2025-04-15,504,DEV00181,ADDR00197,Chennai,premium
CUST00029,2026-02-15,198,DEV00182,ADDR00198,Delhi,occasional
CUST00030,2026-03-10,175,DEV00183,ADDR00199,Ahmedabad,new
CUST00031,2025-03-22,528,DEV00184,ADDR00200,Delhi,regular
CUST00032,2025-07-14,414,DEV00185,ADDR00201,Pune,regular
CUST00033,2025-09-15,351,DEV00186,ADDR00202,Delhi,regular
CUST00034,2026-02-17,196,DEV00187,ADDR00203,Delhi,regular
CUST00035,2025-12-16,259,DEV00188,ADDR00204,Bangalore,regular
CUST00036,2025-06-04,454,DEV00189,ADDR00205,Bangalore,regular
CUST00037,2026-02-16,197,DEV00190,ADDR00206,Jaipur,regular
CUST00038,2025-05-09,480,DEV00103,ADDR00207,Indore,regular
CUST00039,2026-06-12,81,DEV00124,ADDR00020,Delhi,new
CUST00040,2025-09-30,336,DEV00191,ADDR00208,Ahmedabad,premium
CUST00041,2025-05-07,482,DEV00192,ADDR00209,Surat,regular
CUST00042,2026-06-20,73,DEV00078,ADDR00210,Mumbai,occasional
CUST00043,2026-02-06,207,DEV00193,ADDR00211,Kolkata,regular
CUST00044,2025-12-05,270,DEV00194,ADDR00121,Bangalore,occasional
CUST00045,2025-04-16,503,DEV00195,ADDR00212,Mumbai,occasional
CUST00046,2026-05-12,112,DEV00196,ADDR00037,Mumbai,regular
CUST00047,2025-05-29,460,DEV00197,ADDR00213,Chennai,occasional
CUST00048,2026-07-19,44,DEV00072,ADDR00214,Bangalore,occasional
CUST00049,2025-03-22,528,DEV00198,ADDR00215,Delhi,regular
CUST00050,2025-12-02,273,DEV00199,ADDR00216,Kolkata,premium
CUST00051,2026-07-20,43,DEV00200,ADDR00217,Chennai,premium
CUST00052,2026-06-11,82,DEV00085,ADDR00218,Kolkata,new
CUST00053,2025-10-21,315,DEV00201,ADDR00219,Indore,regular
CUST00054,2025-04-23,496,DEV00202,ADDR00220,Bangalore,occasional
CUST00055,2025-10-12,324,DEV00203,ADDR00221,Pune,regular
CUST00056,2025-12-15,260,DEV00204,ADDR00222,Ahmedabad,regular
CUST00057,2025-07-19,409,DEV00113,ADDR00223,Mumbai,occasional
CUST00058,2026-01-03,241,DEV00205,ADDR00224,Ahmedabad,premium
CUST00059,2025-12-17,258,DEV00206,ADDR00225,Kolkata,new
CUST00060,2025-09-02,364,DEV00207,ADDR00226,Ahmedabad,premium
CUST00061,2026-02-14,199,DEV00208,ADDR00227,Mumbai,regular
CUST00062,2026-05-04,120,DEV00094,ADDR00150,Hyderabad,occasional
CUST00063,2026-08-06,26,DEV00130,ADDR00228,Surat,new
CUST00064,2026-03-06,179,DEV00209,ADDR00229,Bangalore,new
CUST00065,2025-09-01,365,DEV00210,ADDR00230,Hyderabad,occasional
CUST00066,2026-05-23,101,DEV00211,ADDR00231,Pune,occasional
CUST00067,2026-02-23,190,DEV00212,ADDR00232,Kolkata,regular
CUST00068,2026-02-01,212,DEV00213,ADDR00233,Delhi,new
CUST00069,2026-04-20,134,DEV00214,ADDR00234,Jaipur,regular
CUST00070,2026-01-22,222,DEV00215,ADDR00003,Surat,occasional
CUST00071,2026-01-17,227,DEV00216,ADDR00235,Bangalore,occasional
CUST00072,2025-06-28,430,DEV00217,ADDR00236,Mumbai,regular
CUST00073,2025-07-12,416,DEV00218,ADDR00237,Delhi,regular
CUST00074,2026-05-13,111,DEV00219,ADDR00238,Bangalore,regular
CUST00075,2026-04-24,130,DEV00220,ADDR00239,Ahmedabad,regular
CUST00076,2025-06-18,440,DEV00221,ADDR00240,Jaipur,regular
CUST00077,2025-05-17,472,DEV00222,ADDR00241,Kolkata,regular
CUST00078,2026-03-09,176,DEV00223,ADDR00242,Mumbai,new
CUST00079,2025-07-03,425,DEV00224,ADDR00243,Hyderabad,regular
CUST00080,2026-01-14,230,DEV00225,ADDR00244,Delhi,regular
CUST00081,2026-01-08,236,DEV00226,ADDR00245,Indore,regular
CUST00082,2025-05-10,479,DEV00227,ADDR00246,Surat,premium
CUST00083,2026-04-08,146,DEV00069,ADDR00129,Jaipur,regular
CUST00084,2025-08-11,386,DEV00228,ADDR00247,Delhi,regular
CUST00085,2025-12-20,255,DEV00229,ADDR00248,Jaipur,occasional
CUST00086,2025-11-17,288,DEV00230,ADDR00249,Kolkata,premium
CUST00087,2026-03-22,163,DEV00231,ADDR00250,Chennai,premium
CUST00088,2025-03-28,522,DEV00232,ADDR00251,Mumbai,occasional
CUST00089,2025-10-25,311,DEV00233,ADDR00252,Jaipur,regular
CUST00090,2025-03-01,549,DEV00234,ADDR00253,Delhi,regular
CUST00091,2025-12-23,252,DEV00235,ADDR00254,Mumbai,regular
CUST00092,2025-11-15,290,DEV00236,ADDR00150,Hyderabad,premium
CUST00093,2025-03-10,540,DEV00237,ADDR00255,Hyderabad,occasional
CUST00094,2026-02-19,194,DEV00238,ADDR00256,Mumbai,regular
CUST00095,2026-01-14,230,DEV00239,ADDR00072,Chennai,regular
CUST00096,2025-12-30,245,DEV00021,ADDR00111,Lucknow,new
CUST00097,2025-09-24,342,DEV00240,ADDR00257,Bangalore,regular
CUST00098,2025-11-15,290,DEV00241,ADDR00258,Pune,regular
CUST00099,2025-08-06,391,DEV00242,ADDR00138,Ahmedabad,regular
CUST00100,2025-06-06,452,DEV00243,ADDR00259,Hyderabad,occasional
CUST00101,2025-09-14,352,DEV00244,ADDR00260,Pune,regular
CUST00102,2025-03-12,538,DEV00245,ADDR00261,Mumbai,new
CUST00103,2025-03-09,541,DEV00246,ADDR00262,Delhi,regular
CUST00104,2026-05-24,100,DEV00247,ADDR00073,Surat,regular
CUST00105,2026-05-19,105,DEV00248,ADDR00263,Pune,occasional
CUST00106,2026-03-03,182,DEV00249,ADDR00264,Mumbai,regular
CUST00107,2025-12-03,272,DEV00250,ADDR00265,Pune,occasional
CUST00108,2025-05-21,468,DEV00251,ADDR00106,Chennai,regular
CUST00109,2025-10-09,327,DEV00037,ADDR00027,Bangalore,occasional
CUST00110,2025-12-19,256,DEV00252,ADDR00266,Chennai,regular
CUST00111,2026-01-28,216,DEV00253,ADDR00267,Pune,new
CUST00112,2026-02-20,193,DEV00254,ADDR00268,Surat,regular
CUST00113,2026-05-11,113,DEV00137,ADDR00269,Bangalore,premium
CUST00114,2026-01-13,231,DEV00255,ADDR00270,Chandigarh,regular
CUST00115,2025-12-10,265,DEV00256,ADDR00271,Chennai,regular
CUST00116,2026-01-27,217,DEV00257,ADDR00272,Pune,regular
CUST00117,2025-05-18,471,DEV00258,ADDR00273,Kochi,regular
CUST00118,2025-10-04,332,DEV00259,ADDR00274,Hyderabad,premium
CUST00119,2026-04-12,142,DEV00260,ADDR00275,Bangalore,premium
CUST00120,2025-03-17,533,DEV00261,ADDR00276,Surat,regular
CUST00121,2025-09-05,361,DEV00262,ADDR00277,Chennai,regular
CUST00122,2025-07-28,400,DEV00263,ADDR00278,Delhi,premium
CUST00123,2026-04-05,149,DEV00264,ADDR00279,Surat,regular
CUST00124,2026-02-12,201,DEV00265,ADDR00280,Indore,regular
CUST00125,2025-11-06,299,DEV00266,ADDR00281,Delhi,occasional
CUST00126,2026-04-17,137,DEV00267,ADDR00282,Mumbai,occasional
CUST00127,2025-05-22,467,DEV00135,ADDR00283,Chennai,premium
CUST00128,2025-12-09,266,DEV00268,ADDR00284,Hyderabad,premium
CUST00129,2025-10-06,330,DEV00269,ADDR00285,Ahmedabad,regular
CUST00130,2025-03-14,536,DEV00270,ADDR00286,Delhi,premium
CUST00131,2026-04-16,138,DEV00099,ADDR00287,Chandigarh,new
CUST00132,2026-01-13,231,DEV00128,ADDR00288,Hyderabad,premium
CUST00133,2025-09-05,361,DEV00271,ADDR00289,Delhi,occasional
CUST00134,2025-04-19,500,DEV00272,ADDR00290,Jaipur,premium
CUST00135,2026-06-18,75,DEV00273,ADDR00291,Mumbai,premium
CUST00136,2026-06-29,64,DEV00274,ADDR00292,Bangalore,new
CUST00137,2026-04-09,145,DEV00107,ADDR00160,Hyderabad,regular
CUST00138,2025-10-21,315,DEV00275,ADDR00293,Ahmedabad,premium
CUST00139,2025-05-30,459,DEV00276,ADDR00294,Chennai,regular
CUST00140,2025-09-29,337,DEV00277,ADDR00295,Chennai,regular
CUST00141,2025-07-06,422,DEV00278,ADDR00296,Delhi,premium
CUST00142,2025-05-24,465,DEV00279,ADDR00297,Delhi,premium
CUST00143,2026-05-26,98,DEV00280,ADDR00298,Bangalore,premium
CUST00144,2026-05-11,113,DEV00281,ADDR00299,Bangalore,new
CUST00145,2026-07-20,43,DEV00033,ADDR00300,Chandigarh,new
CUST00146,2026-04-29,125,DEV00282,ADDR00301,Ahmedabad,regular
CUST00147,2025-04-25,494,DEV00283,ADDR00302,Ahmedabad,regular
CUST00148,2025-12-20,255,DEV00284,ADDR00303,Mumbai,premium
CUST00149,2026-03-31,154,DEV00285,ADDR00304,Ahmedabad,regular
CUST00150,2025-03-08,542,DEV00286,ADDR00305,Hyderabad,premium
CUST00151,2025-06-09,449,DEV00287,ADDR00306,Bangalore,occasional
CUST00152,2026-08-07,25,DEV00011,ADDR00307,Chennai,occasional
CUST00153,2026-06-25,68,DEV00109,ADDR00042,Ahmedabad,new
CUST00154,2026-06-26,67,DEV00288,ADDR00308,Kolkata,premium
CUST00155,2025-07-05,423,DEV00289,ADDR00309,Pune,premium
CUST00156,2025-05-08,481,DEV00290,ADDR00310,Kolkata,regular
CUST00157,2025-12-28,247,DEV00291,ADDR00311,Delhi,new
CUST00158,2026-05-01,123,DEV00292,ADDR00312,Pune,regular
CUST00159,2025-10-01,335,DEV00153,ADDR00313,Lucknow,premium
CUST00160,2025-05-12,477,DEV00293,ADDR00314,Delhi,regular
CUST00161,2025-11-29,276,DEV00294,ADDR00315,Chennai,premium
CUST00162,2025-10-22,314,DEV00295,ADDR00316,Jaipur,occasional
CUST00163,2025-09-29,337,DEV00296,ADDR00317,Chennai,premium
