device_id,device_type,first_seen,linked_accounts
DEV00001,Desktop Browser,2026-05-21,4
DEV00002,Mobile Browser,2026-04-17,3
DEV00003,Mobile Browser,2026-03-06,2
DEV00004,Mobile App,2025-12-15,5
DEV00005,Tablet,2025-11-10,5
DEV00006,Mobile Browser,2026-02-21,2
DEV00007,Mobile App,2025-10-13,5
DEV00008,Desktop Browser,2026-03-24,2
DEV00009,Desktop Browser,2025-03-05,2
DEV00010,Mobile Browser,2026-08-15,5
DEV00011,Desktop Browser,2025-12-02,5
DEV00012,Mobile App,2026-02-23,3
DEV00013,Mobile Browser,2025-04-26,4
DEV00014,Mobile App,2025-07-28,4
DEV00015,Mobile App,2026-02-14,5
DEV00016,Mobile Browser,2026-07-27,4
DEV00017,Mobile Browser,2026-01-20,5
DEV00018,Desktop Browser,2025-11-02,2
DEV00019,Tablet,2026-01-15,3
DEV00020,Desktop Browser,2025-05-01,4
DEV00021,Mobile App,2025-12-28,5
DEV00022,Desktop Browser,2026-06-21,3
DEV00023,Mobile App,2025-08-07,2
DEV00024,Mobile App,2025-11-22,2
DEV00025,Tablet,2025-03-17,3
DEV00026,Mobile App,2026-05-04,5
DEV00027,Mobile Browser,2026-04-16,5
DEV00028,Mobile App,2025-10-28,2
DEV00029,Desktop Browser,2026-04-06,5
DEV00030,Desktop Browser,2026-03-05,5
DEV00031,Mobile App,2026-05-20,2
DEV00032,Mobile Browser,2025-10-22,2
DEV00033,Mobile Browser,2026-02-16,3
DEV00034,Mobile Browser,2025-11-16,5
DEV00035,Mobile App,2025-08-09,2
DEV00036,Mobile Browser,2026-06-05,2
DEV00037,Desktop Browser,2025-11-28,4
DEV00038,Desktop Browser,2025-04-11,5
DEV00039,Tablet,2026-01-22,2
DEV00040,Mobile Browser,2026-06-27,2
DEV00041,Desktop Browser,2025-03-24,4
DEV00042,Mobile App,2025-11-28,5
DEV00043,Mobile App,2026-04-25,2
DEV00044,Tablet,2026-05-06,3
DEV00045,Mobile Browser,2026-07-28,5
DEV00046,Mobile Browser,2025-06-26,2
DEV00047,Mobile App,2025-04-03,3
DEV00048,Mobile App,2026-08-07,2
DEV00049,Desktop Browser,2025-05-28,2
DEV00050,Mobile App,2026-08-04,5
DEV00051,Desktop Browser,2025-07-12,5
DEV00052,Mobile App,2026-01-12,4
DEV00053,Mobile Browser,2026-02-14,5
DEV00054,Desktop Browser,2026-04-02,4
DEV00055,Desktop Browser,2026-03-04,5
DEV00056,Mobile Browser,2026-03-17,2
DEV00057,Mobile App,2026-06-03,3
DEV00058,Mobile App,2026-07-02,3
DEV00059,Mobile Browser,2026-02-18,2
DEV00060,Mobile Browser,2026-08-18,4
DEV00061,Mobile App,2025-08-15,4
DEV00062,Mobile Browser,2026-07-03,3
DEV00063,Desktop Browser,2025-03-11,4
DEV00064,Desktop Browser,2026-04-13,3
DEV00065,Mobile Browser,2025-05-23,3
DEV00066,Mobile Browser,2026-06-15,5
DEV00067,Mobile Browser,2026-03-15,4
DEV00068,Mobile App,2025-03-13,4
DEV00069,Mobile App,2025-09-30,3
DEV00070,Desktop Browser,2025-08-06,5
DEV00071,Mobile Browser,2026-08-31,5
DEV00072,Tablet,2026-02-10,2
DEV00073,Desktop Browser,2025-12-04,5
DEV00074,Mobile App,2026-05-05,4
DEV00075,Desktop Browser,2025-09-28,3
DEV00076,Mobile Browser,2026-02-23,3
DEV00077,Mobile Browser,2025-03-15,3
DEV00078,Mobile App,2026-06-06,4
DEV00079,Mobile App,2025-07-06,5
DEV00080,Mobile Browser,2026-01-19,4
DEV00081,Desktop Browser,2025-04-19,5
DEV00082,Mobile App,2026-03-26,3
DEV00083,Mobile Browser,2025-07-10,4
DEV00084,Mobile App,2025-11-28,5
DEV00085,Mobile App,2026-02-12,4
DEV00086,Mobile App,2026-01-12,5
DEV00087,Mobile App,2025-10-19,2
DEV00088,Mobile App,2025-03-04,5
DEV00089,Desktop Browser,2025-11-10,5
DEV00090,Mobile App,2026-04-01,5
DEV00091,Desktop Browser,2025-12-02,3
DEV00092,Mobile App,2026-05-15,5
DEV00093,Mobile App,2025-05-06,2
DEV00094,Mobile Browser,2026-08-30,5
DEV00095,Desktop Browser,2025-03-27,2
DEV00096,Desktop Browser,2025-06-09,4
DEV00097,Mobile Browser,2025-12-07,3
DEV00098,Mobile App,2026-08-11,3
DEV00099,Desktop Browser,2025-12-18,4
DEV00100,Mobile App,2026-07-26,3
DEV00101,Mobile App,2025-10-21,2
DEV00102,Mobile App,2025-03-08,5
DEV00103,Desktop Browser,2025-05-30,4
DEV00104,Desktop Browser,2025-03-05,3
DEV00105,Desktop Browser,2025-06-26,3
DEV00106,Mobile App,2025-06-23,2
DEV00107,Mobile Browser,2026-04-26,4
DEV00108,Desktop Browser,2025-12-28,5
DEV00109,Mobile App,2025-12-10,5
DEV00110,Desktop Browser,2025-10-07,5
DEV00111,Mobile Browser,2025-05-09,5
DEV00112,Mobile App,2026-05-01,3
DEV00113,Mobile App,2026-05-17,5
DEV00114,Desktop Browser,2025-07-09,2
DEV00115,Mobile Browser,2026-06-18,3
DEV00116,Mobile App,2025-04-26,5
DEV00117,Desktop Browser,2025-04-20,2
DEV00118,Tablet,2025-11-12,5
DEV00119,Mobile Browser,2026-05-16,3
DEV00120,Mobile App,2025-03-25,2
DEV00121,Mobile App,2026-08-18,3
DEV00122,Mobile Browser,2026-05-08,5
DEV00123,Mobile App,2025-06-14,4
DEV00124,Desktop Browser,2025-08-15,5
DEV00125,Mobile Browser,2025-09-20,3
DEV00126,Desktop Browser,2025-04-12,5
DEV00127,Desktop Browser,2025-09-26,4
DEV00128,Mobile Browser,2025-04-18,2
DEV00129,Desktop Browser,2026-07-16,4
DEV00130,Desktop Browser,2025-05-10,4
DEV00131,Mobile App,2026-01-30,5
DEV00132,Mobile App,2025-09-29,4
DEV00133,Tablet,2025-11-03,2
DEV00134,Mobile Browser,2026-07-29,3
DEV00135,Tablet,2026-04-30,5
DEV00136,Mobile Browser,2025-05-20,4
DEV00137,Mobile Browser,2026-06-13,4
DEV00138,Mobile Browser,2026-01-03,3
DEV00139,Desktop Browser,2026-02-08,4
DEV00140,Mobile App,2026-08-23,3
DEV00141,Mobile Browser,2025-03-03,5
DEV00142,Mobile Browser,2026-02-21,3
DEV00143,Desktop Browser,2025-07-11,3
DEV00144,Tablet,2026-08-26,5
DEV00145,Mobile App,2025-03-25,2
DEV00146,Mobile App,2025-12-01,2
DEV00147,Mobile Browser,2026-05-18,3
DEV00148,Desktop Browser,2026-03-03,4
