order_id,customer_id,order_date,order_amount,category,payment_method,delivery_status
ORD000001,CUST00001,2026-08-24,1182.68,Beauty,UPI,Delivered
ORD000002,CUST00001,2026-06-15,4071.55,Home & Kitchen,COD,Delivered
ORD000003,CUST00001,2026-08-16,1280.08,Clothing,Credit Card,Returned to Seller
ORD000004,CUST00001,2026-05-28,1668.25,Footwear,Debit Card,Delivered
ORD000005,CUST00001,2026-08-08,3481.29,Home & Kitchen,Debit Card,Cancelled
ORD000006,CUST00001,2026-06-24,2897.56,Footwear,Debit Card,Delivered
ORD000007,CUST00002,2026-08-23,3140.26,Sports,Credit Card,Delivered
ORD000008,CUST00002,2026-05-11,323.29,Books,Debit Card,Delivered
ORD000009,CUST00002,2026-03-27,20642.2,Electronics,Net Banking,Delivered
ORD000010,CUST00002,2026-02-18,5434.15,Footwear,Credit Card,Delivered
ORD000011,CUST00002,2026-08-25,1105.98,Beauty,UPI,In Transit
ORD000012,CUST00002,2026-02-06,1296.75,Footwear,Credit Card,Delivered
ORD000013,CUST00002,2026-08-31,654.12,Books,Credit Card,Delivered
ORD000014,CUST00002,2026-07-10,712.11,Accessories,UPI,Delivered
ORD000015,CUST00003,2026-02-14,1095.56,Beauty,Credit Card,Delivered
ORD000016,CUST00003,2026-04-04,55000.0,Electronics,UPI,Delivered
ORD000017,CUST00003,2026-06-30,2521.13,Footwear,COD,Delivered
ORD000018,CUST00003,2026-08-09,3677.47,Clothing,Wallet,Delivered
ORD000019,CUST00004,2026-04-13,3585.5,Home & Kitchen,Wallet,Delivered
ORD000020,CUST00004,2026-07-19,1108.67,Beauty,Net Banking,Delivered
ORD000021,CUST00004,2026-06-18,13123.35,Electronics,UPI,Delivered
ORD000022,CUST00004,2026-03-18,276.28,Books,Credit Card,Delivered
ORD000023,CUST00005,2026-03-05,2535.74,Home & Kitchen,COD,Delivered
ORD000024,CUST00005,2026-08-13,1846.07,Accessories,COD,Delivered
ORD000025,CUST00005,2026-02-21,2676.58,Accessories,UPI,Delivered
ORD000026,CUST00005,2026-06-26,1456.02,Accessories,Credit Card,Delivered
ORD000027,CUST00005,2026-05-11,5755.78,Home & Kitchen,UPI,Delivered
ORD000028,CUST00005,2026-07-12,979.18,Clothing,Wallet,Cancelled
ORD000029,CUST00005,2026-06-23,824.56,Footwear,UPI,Delivered
ORD000030,CUST00005,2026-05-22,606.94,Books,Debit Card,Delivered
ORD000031,CUST00006,2026-03-26,15705.9,Electronics,Debit Card,Delivered
ORD000032,CUST00006,2026-01-16,1127.08,Beauty,UPI,Returned to Seller
ORD000033,CUST00006,2026-03-28,2589.55,Accessories,Wallet,Delivered
ORD000034,CUST00006,2026-06-22,19535.59,Electronics,COD,Delivered
ORD000035,CUST00006,2026-06-17,3112.79,Sports,Credit Card,Delivered
ORD000036,CUST00007,2026-04-25,2590.46,Accessories,Credit Card,Delivered
