refund_id,order_id,customer_id,refund_date,refund_amount,refund_status
REF000001,ORD000020,CUST00004,2026-08-23,1108.67,Processed
REF000002,ORD000044,CUST00008,2026-01-29,3563.29,Processed
REF000003,ORD000083,CUST00014,2026-02-28,2220.29,Pending
REF000004,ORD000096,CUST00016,2026-07-30,4104.45,Processed
REF000005,ORD000101,CUST00017,2026-09-21,784.46,Processed
REF000006,ORD000106,CUST00017,2026-03-22,5460.64,Processed
REF000007,ORD000115,CUST00020,2026-04-02,2101.6,Processed
REF000008,ORD000122,CUST00021,2026-08-01,2600.99,Processed
REF000009,ORD000153,CUST00027,2026-09-09,2222.54,Pending
REF000010,ORD000159,CUST00027,2026-09-10,14526.95,Processed
REF000011,ORD000161,CUST00027,2026-08-07,1244.66,Processed
REF000012,ORD000165,CUST00027,2026-07-27,2101.11,Processed
REF000013,ORD000178,CUST00029,2026-06-25,3059.21,Processed
REF000014,ORD000182,CUST00030,2026-04-22,33241.31,Pending
REF000015,ORD000187,CUST00031,2026-06-21,502.66,Processed
REF000016,ORD000188,CUST00031,2026-01-23,1024.68,Processed
REF000017,ORD000202,CUST00034,2026-09-25,2478.25,Processed
REF000018,ORD000208,CUST00034,2026-08-29,2055.69,Processed
REF000019,ORD000215,CUST00036,2026-08-05,2161.2,Processed
REF000020,ORD000223,CUST00038,2026-08-04,1226.66,Processed
REF000021,ORD000227,CUST00038,2026-02-26,2013.68,Pending
REF000022,ORD000229,CUST00038,2026-07-18,6579.96,Processed
REF000023,ORD000230,CUST00038,2026-07-23,2552.07,Declined
REF000024,ORD000235,CUST00038,2026-03-27,1960.65,Pending
REF000025,ORD000254,CUST00042,2026-07-25,1629.19,Pending
REF000026,ORD000255,CUST00042,2026-07-20,852.85,Processed
REF000027,ORD000257,CUST00042,2026-07-10,6715.56,Processed
REF000028,ORD000258,CUST00042,2026-08-03,36312.02,Processed
REF000029,ORD000261,CUST00042,2026-07-10,32593.94,Processed
REF000030,ORD000271,CUST00044,2026-07-28,1265.72,Processed
REF000031,ORD000274,CUST00045,2026-05-03,2112.25,Processed
REF000032,ORD000300,CUST00048,2026-08-02,1635.77,Processed
REF000033,ORD000301,CUST00048,2026-08-07,13353.04,Processed
REF000034,ORD000304,CUST00048,2026-08-07,1951.87,Processed
REF000035,ORD000305,CUST00048,2026-08-28,3534.18,Processed
REF000036,ORD000315,CUST00051,2026-08-23,2073.9,Processed
REF000037,ORD000316,CUST00051,2026-08-26,3034.57,Processed
REF000038,ORD000319,CUST00051,2026-08-27,546.75,Processed
REF000039,ORD000320,CUST00051,2026-08-14,510.29,Processed
REF000040,ORD000322,CUST00051,2026-08-10,15137.66,Processed
REF000041,ORD000323,CUST00051,2026-09-19,1089.29,Pending
REF000042,ORD000324,CUST00051,2026-09-05,1293.56,Processed
REF000043,ORD000326,CUST00051,2026-08-30,12894.07,Pending
REF000044,ORD000327,CUST00051,2026-08-30,2518.81,Processed
REF000045,ORD000330,CUST00051,2026-08-31,3064.97,Processed
REF000046,ORD000333,CUST00051,2026-08-20,9926.21,Processed
REF000047,ORD000334,CUST00051,2026-08-15,4388.95,Processed
REF000048,ORD000335,CUST00051,2026-08-21,2825.36,Pending
REF000049,ORD000340,CUST00052,2026-06-30,16824.46,Processed
REF000050,ORD000346,CUST00052,2026-08-24,488.43,Processed
REF000051,ORD000351,CUST00052,2026-08-21,598.62,Pending
REF000052,ORD000385,CUST00060,2026-07-11,1315.43,Processed
REF000053,ORD000388,CUST00061,2026-08-01,1444.79,Processed
REF000054,ORD000410,CUST00063,2026-09-10,5094.68,Processed
REF000055,ORD000412,CUST00063,2026-08-25,3091.71,Processed
REF000056,ORD000415,CUST00063,2026-09-05,325.47,Processed
REF000057,ORD000421,CUST00063,2026-08-22,1592.6,Processed
REF000058,ORD000428,CUST00064,2026-04-26,5408.34,Processed
REF000059,ORD000437,CUST00065,2026-04-07,9887.3,Processed
REF000060,ORD000476,CUST00073,2026-07-19,335.06,Processed
